Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Tacoma,Pierce,City,Transportation,"Utility tax increase (2% increase) for street improvements, including pothole repairs, pedestrian safety, repaved streets, and improved signal timing.",Failed,42.6,57.4,November,2013,,,0.02,,Utility Tax Increase (RCW 35.21.870)
Tacoma,Pierce,City,Criminal Justice,City charter amendment initiative stating that marijuana offenses are the city's lowest law enforcement priority.,Passed,65.52,34.48,November,2011,,,,,N/A
Tacoma Transportation Benefit District,Pierce,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.1%).",Passed,57.92,42.08,November,2015,10,,0.001,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Tanglewilde Parks and Recreation District,Thurston,Park District,Parks and Recreation,Park and recreation district regular levy ($0.60).,Passed,73.72,26.28,August,2013,6,0.6,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Tanglewilde Parks and Recreation District,Thurston,Park District,Parks and Recreation,Park and recreation district regular levy ($0.60).,Failed,53.54,46.46,November,2012,6,0.6,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Tekoa,Whitman,City,Transportation,Excess levy ($1.60) for street chip sealing and use as matching money for a Transportation Improvement Board project.,Passed,66.54,33.46,November,2017,1,1.6,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa,Whitman,City,Transportation,Excess levy ($1.64) for operation and maintenance of street department.,Failed,58.72,41.28,November,2016,1,1.64,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa,Whitman,City,Transportation,Excess levy ($1.85) for street department.,Failed,58.59,41.41,November,2015,1,1.85,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa,Whitman,City,Transportation,Excess levy ($2.15) for operation and maintenance of street department.,Passed,64.52,35.48,November,2014,1,2.15,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa,Whitman,City,Transportation,Excess levy ($2.06) for street department maintenance and operation.,Passed,67.12,32.88,November,2013,1,2.06,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa,Whitman,City,Transportation,Excess levy ($2.15) for street department operation and maintenance.,Passed,64.93,35.07,November,2012,1,2.15,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa,Whitman,City,Transportation,Excess levy ($2.19) for street department maintenance and operation.,Passed,67.2,32.8,November,2011,1,2.19,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa Park and Recreation District No. 6,Whitman,Park District,Parks and Recreation,Excess levy ($1.04) for park maintenance and operations.,Passed,72.59,27.41,February,2017,1,1.04,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa Park and Recreation District No. 6,Whitman,Park District,Parks and Recreation,Excess levy ($5.89) for park district maintenance and operations.,Passed,68.04,31.96,February,2016,1,5.89,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa Park and Recreation District No. 6,Whitman,Park District,Parks and Recreation,Excess levy ($1.26) for park district maintenance and operation.,Failed,59.77,40.23,November,2015,1,1.26,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa Park and Recreation District No. 6,Whitman,Park District,Parks and Recreation,Excess levy ($1.19) for park district maintenance and operation.,Passed,64.19,35.81,November,2014,1,1.19,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa Park and Recreation District No. 6,Whitman,Park District,Parks and Recreation,Excess levy ($1.30) for park district operation and maintenance.,Passed,63.85,36.15,November,2013,1,1.3,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa Park and Recreation District No. 6,Whitman,Park District,Parks and Recreation,Excess levy ($1.51) for swimming pool maintenance and operation.,Passed,66.28,33.72,November,2012,1,1.51,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tekoa Park and Recreation District No. 6,Whitman,Park District,Parks and Recreation,Excess levy ($1.56) for swimming pool and park operation and maintenance.,Passed,63.46,36.54,November,2011,1,1.56,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Tenino,Thurston,City,"Annexation, Fire",Annexation into Thurston County Fire Protection District No. 12,Passed,85.96,14.04,November,2017,,,,,N/A
Thurston County Fire Protection District No. 12,Thurston,Fire Protection District,"Annexation, Fire",Annexation of Tenino.,Passed,82.64,17.36,November,2017,,,,,N/A
Thurston County Fire Protection District No. 15 - Munn Lake,Thurston,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire protection services, equipment, and facilities. Limit factor: annual CPI increase.",Passed,61.18,38.82,August,2013,Multi-year (6 years/permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Thurston County Fire Protection District No. 15 - Munn Lake,Thurston,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire protection services, equipment, and facilities. Limit factor: annual CPI increase.",Failed,44.55,54.45,August,2012,Multi-year (6 years/permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Thurston County Fire Protection District No. 17 - Bald Hills Fire Department,Thurston,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for maintenance and operations. Limit factor: 6% annually.",Passed,70.9,29.1,August,2013,Multi-year (6 years/permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Thurston County Fire Protection District No. 3 - Lacey Fire District No.3,Thurston,Fire Protection District,"Fire, EMS","Bonds (20 years, $20 million) for new fire station, facility expansions and renovations, new fire and EMS vehicles, and conversion of existing fire station into training facility.",Passed,74.96,25.04,November,2017,20,,,"19,975,147",Bond (RCW 84.52.056)
Thurston County Fire Protection District No. 3 - Lacey Fire District No.3,Thurston,Fire Protection District,"Fire, EMS","Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire and EMS. Limit factor: 6% annually.",Passed,67.38,32.62,August,2014,Multi-year (6 years/permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Thurston County Fire Protection District No. 3 - Lacey Fire District No.3,Thurston,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire district operating costs. Limit factor: 6% annually.",Failed,47.05,52.95,November,2011,Multi-year (6 years/permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Thurston County Fire Protection District No. 5 - Black Lake,Thurston,Fire Protection District,Fire,"Fire district excess levy (4 years, $0.20) for maintenance and operations.",Passed,72.1,27.9,August,2015,4,0.196,,,Fire District Excess Levy (RCW 84.52.130)
Thurston County Fire Protection District No. 6,Thurston,Fire Protection District,Fire,"Bonds (6 years, $2 million) for fire station upgrades, new emergency vehicles, and other capital projects.",Passed,74.64,25.36,August,2016,6,,,"2,000,000",Bond (RCW 84.52.056)
Thurston County Fire Protection District No. 7,Thurston,Fire Protection District,"Annexation, Fire",Merger into Thurston County Fire Protection District No. 8 (South Bay).,Passed,76.08,23.92,November,2014,,,,,N/A
Thurston County Fire Protection District No. 7,Thurston,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.50, permanent) for fire and EMS.",Passed,63.11,36.89,November,2014,Single-year (permanent),1.5,,,Levy Lid Lift (RCW 84.55.050)
Thurston County Fire Protection District No. 8 -South Bay Fire Department,Thurston,Fire Protection District,"Government Organization, Fire",Increasing number of fire commissioners from 3 to 5.,Passed,55.39,44.61,November,2015,,,,,N/A
Thurston County Fire Protection District No. 8 -South Bay Fire Department,Thurston,Fire Protection District,Fire,"Bonds (12 years, $1.2 million) to replace two outdated garage stations with a full-service fire station.",Failed,35.38,64.62,November,2011,12,,,"1,200,000",Bond (RCW 84.52.056)
Thurston County Fire Protection District No. 9 - McLane,Thurston,Fire Protection District,Fire,"Fire district excess levy (4 years, $0.20) for maintenance and operations.",Passed,76.19,23.81,August,2015,4,0.196,,,Fire District Excess Levy (RCW 84.52.130)
Thurston County PUD No. 1,Thurston,Public Utility District,Other,"Allowing the PUD to construct or acquire electric facilities for the generation, transmission or distribution of electric power.",Failed,40.66,59.34,November,2012,,,,,N/A
Toledo,Lewis,City,"Annexation, Library",Annexation to the Timberland Regional Library.,Passed,65.96,34.04,November,2013,,,,,N/A
Tonasket,Okanogan,City,"Criminal Justice, Fire",Public safety sales tax (0.1%) for criminal justice and/or fire protection purposes.,Passed,50.18,49.82,November,2014,,,0.001,,Public Safety Sales Tax (RCW 82.14.450)
Tonasket,Okanogan,City,"Criminal Justice, Fire",Public safety sales tax (0.1%) for criminal justice and/or fire protection.,Failed,46.53,53.47,November,2013,,,0.001,,Public Safety Sales Tax (RCW 82.14.450)
Tonasket,Okanogan,City,"Criminal Justice, Fire",Public safety sales tax (0.1%) for criminal justice and/or fire protection.,Failed,49.74,50.26,November,2012,,,0.001,,Public Safety Sales Tax (RCW 82.14.450)
Tonasket Emergency Medical Service District,Okanogan,Emergency Medical Services District,EMS,"EMS levy renewal (10 years, $0.40).",Passed,72.06,27.94,November,2014,10,0.4,,,EMS Levy (RCW 84.52.069)
Tonasket Park and Recreation District,Okanogan,Park District,Parks and Recreation,Forming a new park and recreation district.,Passed,65.13,34.87,November,2015,,,,,N/A
Tonasket Park and Recreation District,Okanogan,Park District,Parks and Recreation,"Park and recreation district regular levy (5 years, $0.15) to maintain swimming pool and parks.",Passed,60.83,39.17,November,2015,5,0.15,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Tri-Cities Regional Public Facilities District,"Benton, Franklin",Public Facilities District,Parks and Recreation,PFD sales tax (0.1%) to build and operate a swimming pool/water park.,Failed,40.81,59.19,August,2013,,,0.001,,Public Facilities District Sales Tax (RCW 82.14.048)
Tukwila,King,City,"Criminal Justice, Fire","Bonds (20 years, $77 million) to replace fire stations, build a police and court facility, and establish a financial oversight committee.",Passed,60.54,39.46,November,2016,20,,,"77,385,000",Bond (RCW 84.52.056)
Tukwila,King,City,Other,Advisory vote on whether to allow social card room gambling.,Passed,59.9,40.1,November,2011,,,,,N/A
Tukwila Pool Metropolitan Park District,King,Park District,"Government Organization, Parks and Recreation",Changing the MPD governing board from city council (ex officio) to a 5-member elected board.,Passed,66.77,33.23,November,2015,,,,,N/A
Tumwater,Thurston,City,Other,Advisory vote to ban the sale and discharge of consumer fireworks except for small trick and novelty devices. <em>(Voters narrowly supported a ban.)</em>,Advisory,50.35,49.65,November,2016,,,,,N/A
Tumwater Transportation Benefit District,Thurston,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for street maintenance, repairs, and pedestrian improvements.",Passed,68.18,31.82,April,2015,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Twisp,Okanogan,City,EMS,"Initial EMS levy (10 years, $0.50).",Passed,71.84,28.16,November,2016,10,0.5,,,EMS Levy (RCW 84.52.069)
Twisp Transportation Benefit District,Okanogan,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%).",Passed,72.86,27.14,August,2016,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Union Gap,Yakima,City,Government Organization,Changing form of government from mayor-council to council-manager.,Passed,53.16,46.84,November,2012,,,,,N/A
University Place,Pierce,City,Other,"Advisory vote on prohibiting sale, possession, and discharge of consumer fireworks. <em>(Voters supported a fireworks ban.)</em>",Advisory,61.45,38.55,November,2017,,,,,N/A
University Place,Pierce,City,Criminal Justice,Utility tax increase (3.5%) to maintain and enhance police services.,Failed,45.79,54.21,November,2014,,,0.035,,Utility Tax Increase (RCW 35.21.870)
University Place Metropolitan Park District,Pierce,Park District,Parks and Recreation,"Forming a new metropolitan park district, by petition, governed by 5 elected commissioners.",Failed,35.42,64.58,April,2016,,,,,Metropolitan Park District Formation (Ch. 35.61 RCW)
Upper Columbia Pool District,Stevens,Park District,Parks and Recreation,Forming a new park and recreation district.,Passed,50.45,49.55,November,2015,,,,,N/A
Upper Columbia Pool District,Stevens,Park District,Parks and Recreation,Park and recreation district regular levy ($0.22).,Failed,52.72,47.28,November,2015,,0.215,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Vader,Lewis,City,Other,Changing the city's name to Little Falls.,Failed,35.75,64.22,November,2015,,,,,N/A
Valley General Hospital - Snohomish County Public Hospital District No. 1,Snohomish,Public Hospital District,Government Organization,Increasing number of hospital commissioners from 3 to 5.,Passed,68.39,31.61,November,2013,,,,,N/A
Valley General Hospital - Snohomish County Public Hospital District No. 1,Snohomish,Public Hospital District,Hospital,"Single-year levy lid lift (to $0.37, permanent) for healthcare services and facilities.",Passed,59.21,40.79,April,2013,Single-year (permanent),0.37,,,Levy Lid Lift (RCW 84.55.050)
Valley Regional Fire Authority,"King, Pierce",Fire Protection District,Fire,Continuing fire benefit charges for 6 years.,Passed,76.01,23.99,August,2012,6,,,,Regional Fire Authority Benefit Charge (RCW 52.26.180)
Vancouver,Clark,City,Affordable Housing,"Affordable housing levy (7 years, $0.36) for very low-income housing assistance, including people with disabilities, veterans, seniors, and families with children.",Passed,57.64,42.36,November,2016,7,0.36,,,Affordable Housing Regular Levy (RCW 84.52.105)
Vancouver,Clark,City,Government Organization,City charter amendment requiring sitting councilmembers to provide notice of intent to seek election to a different council position at least 30 days before the filing deadline and requiring the councilmember to resign their current position at the end of the year.,Passed,75.36,24.64,November,2015,,,,,N/A
Vancouver,Clark,City,Government Organization,"City charter amendment requiring citizen appointments to boards, commissions, and committees to be made by public announcement, subject to review of objective criteria and a majority vote of the council, and authorizing council to dissolve inactive boards, commissions, and committees.",Passed,77.19,22.81,November,2015,,,,,N/A
Vancouver,Clark,City,Government Organization,City charter amendment prohibiting discrimination in all city programs and activities.,Passed,80.68,19.32,November,2015,,,,,N/A
Vancouver,Clark,City,Government Organization,"City charter amendment requiring proposed ordinances to be made available prior to hearing at the place of the hearing and on the city website, and eliminating the requirement to read the full text of a proposed ordinance upon request at the hearing.",Passed,62.36,37.64,November,2015,,,,,N/A
Vancouver,Clark,City,Government Organization,"City charter amendment clarifying initiative process, including deadlines, nonbinding city attorney opinion, and city clerk determination of the validity of the circulator statement.",Passed,65.05,34.95,November,2015,,,,,N/A
Vancouver,Clark,Park District,Parks and Recreation,Forming a new metropolitan park district.,Failed,33.84,66.16,November,2012,,,,,Metropolitan Park District Formation (Ch. 35.61 RCW)
Vashon Island Fire and Rescue,King,Fire Protection District,Fire,"Multi-year levy lid lift (to $1.50, 6 years/permanent) for fire district operations. Limit factor: 6% annually.",Passed,66.78,33.22,November,2017,"6, permanent",1.5,,,Levy Lid Lift (RCW 84.55.050)
Vashon-Maury Island Park and Recreation District,King,Park District,Parks and Recreation,"Park and recreation district regular levy (4 years, $0.50) for operation and maintenance costs.",Passed,60.63,39.37,April,2015,4,0.5,,,Park and Recreation District Regular Levy (RCW 36.69.145)
Wahkiakum County,Wahkiakum,County,Criminal Justice,"Criminal justice levy (6 years, $0.39).",Failed,31.2,68.8,November,2016,6,0.39,,,Criminal Justice Levy (RCW 84.52.135)
Wahkiakum County,Wahkiakum,County,Other,"Advisory vote to regulate the quantity of junk, junk vehicles, and solid waste on private property that is visible from the public right-of-way. <em>(Voters favored regulation.)</em>",Advisory,68.82,31.18,November,2015,,,,,N/A
Wahkiakum County,Wahkiakum,County,EMS,"Initial EMS levy (6 years, $0.25).",Passed,76.66,23.34,August,2014,6,0.25,,,EMS Levy (RCW 84.52.069)
Wahkiakum County Fire Protection District No. 3,Wahkiakum,Fire Protection District,Fire,"Multi-year levy lid lift (to $0.72, 6 years/permanent) to maintain current fire district service levels. Limit factor: 7% annually.",Failed,36.46,63.54,November,2016,Multi-year (6 years/permanent),0.72,,,Levy Lid Lift (RCW 84.55.050)
Waitsburg,Walla Walla,City,"Annexation, Fire",Annexation into Walla Walla County Fire District #2.,Passed,62.19,37.81,November,2015,,,,,N/A
Waitsburg,Walla Walla,City,Other,"Bonds (20 years, $2 million) for flood control project and levee construction.",Failed,35.83,64.17,November,2011,20,,,"2,000,000",Bond (RCW 84.52.056)
Waitsburg Transportation Benefit District,Walla Walla,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.1%) for transportation improvements.",Passed,74.47,25.53,April,2012,,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Walla Walla,Walla Walla,City,Parks and Recreation,"Bonds (20 years, $5.8 million) to rebuild Veteran's Memorial Swimming Pool.",Passed,64.57,35.43,February,2015,20,,,"5,830,000",Bond (RCW 84.52.056)
Walla Walla,Walla Walla,City,Parks and Recreation,"Single-year levy lid lift (increase of $0.50 to $3.07, 9 years) to construct, maintain, and operate a swimming pool/aquatic center.",Failed,42.62,57.38,August,2012,Single-year (9 years),3.07,,,Levy Lid Lift (RCW 84.55.050)
Walla Walla City Transportation Benefit District,Walla Walla,Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for transportation improvements.",Passed,61.7,38.3,February,2012,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Walla Walla County Fire Protection District No. 2,Walla Walla,Fire Protection District,"Annexation, Fire",Annexation of the City of Waitsburg.,Passed,71.17,28.83,November,2015,,,,,N/A
Washougal,Clark,City,EMS,"Initial EMS levy (6 years, $0.50), following expiration of previous EMS levy the year before.",Passed,68.67,31.33,November,2017,6,0.5,,,EMS Levy (RCW 84.52.069)
Washougal,Clark,City,"Fire, EMS","Single-year levy lid lift (increase of $0.10 to $2.85, 6 years) for fire and EMS, replacing an expiring levy lid lift.",Passed,58.59,41.41,November,2014,Single-year (6 years),0.1,,,Levy Lid Lift (RCW 84.55.050)
Washougal,Clark,City,Criminal Justice,"Single-year levy lid lift (increase of $0.10 to $2.85, 6 years) for police, code enforcement, and public safety services.",Failed,48.32,51.68,November,2014,Single-year (6 years),0.1,,,Levy Lid Lift (RCW 84.55.050)
Washougal,Clark,City,Government Organization,Changing form of government from mayor-council to council-manager.,Failed,34.5,65.5,November,2013,,,,,N/A
Waterville,Douglas,City,Parks and Recreation,"Single-year levy lid lift (to $2.80, permanent), with $0.50 of the levy increase dedicated to swimming pool maintenance and operation for at least 6 years.",Passed,63.27,36.73,November,2011,Single-year (permanent),0.5,,,Levy Lid Lift (RCW 84.55.050)
Waterville Mosquito Control District,Douglas,Mosquito Control District,Other,Excess levy ($0.25) for mosquito district operations.,Passed,75.89,24.11,November,2014,1,0.25,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Waterville Mosquito Control District,Douglas,Mosquito Control District,Other,Mosquito control district regular levy ($0.25).,Passed,68.09,31.91,November,2011,1,0.25,,,Mosquito Control District Regular Levy (RCW 17.28.100)
Waterville Mosquito Control District,Douglas,Mosquito Control District,Other,Formation of a new mosquito control district.,Passed,78.66,21.34,November,2011,,,,,N/A
Wenatchee,Chelan,City,Annexation,Referendum approving annexation of Walnut/McKittrick unincorporated island (130 acres).,Failed,19.3,80.7,February,2017,,,,,N/A
Wenatchee,Chelan,City,Annexation,"Referendum assuming a proportionate share of the city's then-outstanding indebtedness for Walnut/McKittrick unincorporated island (130 acres). <em>(Annexation was rejected in referendum, rendering this measure moot.)</em>",Failed,13.64,86.36,February,2017,,,,,N/A
Wenatchee,Chelan,City,Annexation,Referendum approving annexation of Maple unincorporated island (10 acres).,Passed,8.33,91.67,February,2017,,,,,N/A
Wenatchee,Chelan,City,Annexation,"Referendum assuming a proportionate share of the city's then-outstanding indebtedness for Maple unincorporated island (10 acres). <em>(Annexation was rejected in referendum, rendering this measure moot.)</em>",Failed,0,100,February,2017,,,,,N/A
Wenatchee,Chelan,City,"Annexation, Fire",Annexation into Chelan County Fire District #1.,Passed,91.56,8.44,April,2015,,,,,N/A
West Benton Regional Fire Authority,Benton,Fire Protection District,Fire,"Forming a new regional fire authority consisting of the City of Prosser and Benton County Fire Protection District No. 3, funded by a property tax levy ($0.95).",Passed,53.8,46.2,November,2014,,0.95,,,N/A
West Pierce Fire and Rescue - Pierce County Fire Protection District No. 3,Pierce,Fire Protection District,Fire,"Fire district excess levy (4 years, up to $1.35) for maintenance and operations.",Passed,69.63,30.37,August,2015,4,1.35,,,Fire District Excess Levy (RCW 84.52.130)
West Pierce Fire and Rescue - Pierce County Fire Protection District No. 3,Pierce,Fire Protection District,"Fire, EMS","Fire district excess levy (2 years, $1.60) to maintain current level of fire and EMS.",Passed,68.77,31.23,August,2013,2,1.6,,,Fire District Excess Levy (RCW 84.52.130)
West Richland,Benton,City,Library,"Repealing a 2.5% utility tax increase and replacing it with a single-year levy lid lift (increase of $0.45 to $2.00, permanent) to fund the city library.",Passed,51.78,48.22,November,2016,Single-year (permanent),0.45,,,"Utility Tax Increase (RCW 35.21.870), Levy Lid Lift (RCW 84.55.050)"
West Thurston Regional Fire Service Authority - Rochester and Littlerock,Thurston,Fire Protection District,"Fire, EMS","Fire district excess levy (3 years, $0.70) to maintain current fire and EMS levels of service.",Passed,73.42,26.58,February,2016,3,0.7,,,Fire District Excess Levy (RCW 84.52.130)
West Thurston Regional Fire Service Authority - Rochester and Littlerock,Thurston,Fire Protection District,Fire,"Fire district excess levy (1 year, $0.35) to maintain current level of fire and EMS.",Passed,64.95,35.05,August,2014,1,0.35,,,Fire District Excess Levy (RCW 84.52.130)
Westport,Grays Harbor,City,"Fire, EMS","Forming a new South Beach Regional Fire Authority comprised of Westport and four fire protection districts, funded by a regular property tax up to $1.50, a permanent EMS levy of $0.50, and a one-year excess levy ($0.86).",Passed,78.8,21.2,August,2017,"1 (excess), permanent (EMS)","0.50 (EMS), $0.86 (excess)",,,"EMS Levy (RCW 84.52.069), Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Westport,Grays Harbor,City,"Fire, EMS","Excess levy ($1.61) for EMS, ambulance, and fire protection.",Failed,57.24,42.76,August,2016,1,1.61,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Westport,Grays Harbor,City,"Fire, EMS","Excess levy ($1.68) for EMS, ambulance, and fire response.",Passed,60.81,39.19,August,2015,1,1.68,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Westport,Grays Harbor,City,"Fire, EMS","Excess levy ($0.68) for EMS, ambulance, and fire response.",Passed,68.78,31.22,August,2014,1,0.68,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Westport,Grays Harbor,City,EMS,"Initial EMS levy (6 years, $0.25).",Passed,64.58,35.42,August,2013,6,0.25,,,EMS Levy (RCW 84.52.069)
Westport,Grays Harbor,City,"Fire, EMS","Excess levy ($0.53) for emergency medical services, ambulances, and fire response.",Passed,62.39,37.61,August,2013,1,0.53,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Westport,Grays Harbor,City,EMS,"Initial EMS levy (6 years, $0.25).",Passed,71.6,28.4,November,2012,6,0.25,,,EMS Levy (RCW 84.52.069)
Westport,Grays Harbor,City,"Fire, EMS",Excess levy ($0.33) for emergency medical services and fire protection.,Passed,73.08,26.92,August,2012,1,0.33,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whatcom County,Whatcom,County,Criminal Justice,"Public safety sales tax (0.2%) for public safety purposes, including new jail facilities, incarceration prevention, and medical and behavioral health facilities and programs. Half of the tax will expire upon repayment of total capital cost of jail facilities or December 31, 2048, whichever comes first.",Failed,41.36,58.64,November,2017,30,,0.002,,Public Safety Sales Tax (RCW 82.14.450)
Whatcom County,Whatcom,County,EMS,"Initial EMS levy (6 years, $0.30).",Passed,60.04,39.96,November,2016,6,0.295,,,EMS Levy (RCW 84.52.069)
Whatcom County,Whatcom,County,Criminal Justice,"Public safety sales tax (0.2%) for constructing and operating jail facilities, with half the tax expiring upon repayment of bonds no later than 30 years after issuance.",Failed,48.58,51.42,November,2015,,,0.002,,Public Safety Sales Tax (RCW 82.14.450)
Whatcom County,Whatcom,County,Government Organization,"County charter amendment to elect members by district, except for at-large position.",Passed,53.06,46.94,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,"County charter amendment prohibiting councilmembers from proposing amendments to other amendments that have previously been approved by a 2/3 majority of voters, unless the council vote is unanimous.",Passed,51.6,48.4,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,"County charter amendment prohibiting councilmembers from amending sections pertaining to nominations and elections, unless the council vote is unanimous.",Passed,51.58,48.42,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,County charter amendment increasing the word limit for initiatives and referenda from 20 to 40 words.,Passed,84.22,15.78,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,County charter amendment lowering the signature threshold for initiatives and referenda from 15% of votes cast in last general election to 8% of votes in last gubernatorial election.,Passed,50.84,49.16,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,County charter amendment reducing the signature threshold for citizen charter amendment initiatives from 20% to 15% of votes cast in last gubernatorial election.,Passed,61.29,38.71,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,County charter amendment establishing term limits of three consecutive full terms for councilmembers and county executive.,Passed,69.38,30.62,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,"County charter amendment altering representation on redistricting committee, to include one seat for each political party with a candidate receiving at least 15% of the vote in the last gubernatorial primary or presidential election, with a second seat to any party with a candidate receiving at least 33% of the vote.",Failed,46.38,53.62,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,"County charter amendment increasing number of districts from 3 to 5 and reducing number of councilmembers per district from 2 to 1, resulting in a total of 5 council positions by district and two at-large positions.",Passed,54.03,45.97,November,2015,,,,,N/A
Whatcom County,Whatcom,County,Government Organization,County charter amendment requiring future charter amendments to have supermajority support from the council or charter review commission in order to be placed on the ballot.,Passed,52.5,47.5,November,2015,,,,,N/A
Whatcom County,Whatcom,Park District,Parks and Recreation,"Formation of a new metropolitan park district, governed by 5 elected commissioners.",Passed,51.73,48.27,February,2013,,,,,Metropolitan Park District Formation (Ch. 35.61 RCW)
Whatcom County,Whatcom,County,Government Organization,"County charter amendment establishing an independent salary commission to determine compensation of elected officials, subject to a referendum.",Passed,60.95,39.05,November,2011,,,,,N/A
Whatcom County Cemetery District No. 1,Whatcom,Cemetery District,Cemetery,"Multi-year levy lid lift (to $0.11, 6 years/permanent) for cemetery operation cost increases. Limit factor: annual inflation increase.",Failed,45.37,54.63,November,2011,Multi-year (6 years/permanent),0.1125,,,Levy Lid Lift (RCW 84.55.050)
Whatcom County Fire Protection District No. 1,Whatcom,Fire Protection District,Fire,"Single-year levy lid lift (to $1.40, permanent) for fire district maintenance and operations.",Passed,55.22,44.78,November,2015,Single-year (permanent),1.4,,,Levy Lid Lift (RCW 84.55.050)
Whatcom County Fire Protection District No. 1,Whatcom,Fire Protection District,"Annexation, Fire",Annexation of the City of Everson.,Passed,84.59,15.41,February,2015,,,,,N/A
Whatcom County Fire Protection District No. 1,Whatcom,Fire Protection District,"Annexation, Fire",Annexation of the City of Nooksack.,Passed,84.31,15.69,February,2015,,,,,N/A
Whatcom County Fire Protection District No. 11,Whatcom,Fire Protection District,EMS,"Initial EMS levy (6 years, $0.39).",Passed,74.94,25.06,November,2015,6,0.39,,,EMS Levy (RCW 84.52.069)
Whatcom County Fire Protection District No. 11,Whatcom,Fire Protection District,Fire,"Single-year levy lid lift (to $1.49, permanent) for fire district maintenance, operations, and capital facilities.",Passed,72.57,27.43,November,2014,Single-year (permanent),1.49,,,Levy Lid Lift (RCW 84.55.050)
Whatcom County Fire Protection District No. 14,Whatcom,Fire Protection District,Fire,"Single-year levy lid lift (to $1.30, permanent) for fire district maintenance and operations.",Passed,56.58,43.42,November,2015,Single-year (permanent),1.3,,,Levy Lid Lift (RCW 84.55.050)
Whatcom County Fire Protection District No. 16 - Acme/Van Zandt,Whatcom,Fire Protection District,Fire,"Single-year levy lid lift (to $1.00, permanent) for fire district operations.",Passed,62.79,37.21,August,2017,Permanent,1,,,Levy Lid Lift (RCW 84.55.050)
